"Query"	"NodeId"	"ExtNodeId"	"Loc_start"
"GLKT0ZE01BQ8X8"	"195"	"753"	"624"
"GLKT0ZE01CKVBS"	"195"	"753"	"618"
"GLKT0ZE01DGLAI"	"195"	"753"	"601"
"GLKT0ZE01C412B"	"195"	"753"	"611"
"GLKT0ZE01BSZGG"	"195"	"753"	"611"
"GLKT0ZE01BQX6M"	"195"	"753"	"624"
"GLKT0ZE01DDPMH"	"195"	"753"	"638"
"GLKT0ZE01CMB9B"	"195"	"753"	"601"
"GLKT0ZE01ER4O1"	"195"	"753"	"601"
"GLKT0ZE01ALB9L"	"195"	"753"	"601"
"GLKT0ZE01A4U5E"	"195"	"753"	"624"
"GLKT0ZE01ASJ59"	"195"	"753"	"624"
"GLKT0ZE01C4G6R"	"195"	"753"	"624"
"GLKT0ZE01ATP2Z"	"195"	"753"	"598"
"GLKT0ZE01BLQZN"	"195"	"753"	"611"
"GLKT0ZE01AJTJO"	"195"	"753"	"624"
"GLKT0ZE01A2UU6"	"195"	"753"	"620"
"GLKT0ZE01A0R63"	"195"	"753"	"624"
"GLKT0ZE01B1VSB"	"195"	"753"	"624"
"GLKT0ZE01DE7HR"	"195"	"753"	"624"
"GLKT0ZE01CRY96"	"195"	"753"	"638"
"GLKT0ZE01DAKQF"	"195"	"753"	"620"
"GLKT0ZE01ESHTH"	"195"	"753"	"624"
"GLKT0ZE01A0NEW"	"195"	"753"	"620"
"GLKT0ZE01E3CQ3"	"195"	"753"	"646"
"GLKT0ZE01A6PNU"	"195"	"753"	"624"
"GLKT0ZE01CY7L4"	"195"	"753"	"630"
"GLKT0ZE01D9A4R"	"195"	"753"	"620"
"GLKT0ZE01B3YMX"	"195"	"753"	"624"
"GLKT0ZE01DR7ID"	"195"	"753"	"624"
"GLKT0ZE01ED2PF"	"195"	"753"	"638"
"GLKT0ZE01C2BPM"	"195"	"753"	"605"
"GLKT0ZE01EPNYH"	"195"	"753"	"624"
"GLKT0ZE01A7SKZ"	"195"	"753"	"624"
"GLKT0ZE01EZXDS"	"195"	"753"	"624"
"GLKT0ZE01AMNQZ"	"195"	"753"	"624"
"GLKT0ZE01A4DGW"	"195"	"753"	"624"
"GLKT0ZE01EFLSY"	"195"	"753"	"604"
"GLKT0ZE01BBBQ8"	"195"	"753"	"624"
"GLKT0ZE01BIZRQ"	"195"	"753"	"624"
"GLKT0ZE01B8Y94"	"195"	"753"	"610"
"GLKT0ZE01A7QJG"	"195"	"753"	"609"
"GLKT0ZE01A6F1M"	"195"	"753"	"624"
"GLKT0ZE01EUAAF"	"195"	"753"	"624"
"GLKT0ZE01CAFZ2"	"195"	"753"	"601"
"GLKT0ZE01BYRSP"	"195"	"753"	"611"
"GLKT0ZE01CZCEY"	"195"	"753"	"624"
"GLKT0ZE01BXY59"	"195"	"753"	"618"
"GLKT0ZE01BVUFL"	"195"	"753"	"624"
"GLKT0ZE01CH1BF"	"195"	"753"	"624"
"GLKT0ZE01CM5XE"	"195"	"753"	"601"
"GLKT0ZE01DUG1J"	"195"	"753"	"630"
