node_label;node_id;PPCounter;log10(PP*)
89;15;24;-2.544548211664251
154;143;24;-2.3603584518700242
90;16;24;-2.7140604412720886
155;146;24;-3.9287054746295444
156;147;24;-2.3483286444468323
91;19;24;-3.7778254742098354
92;20;24;-3.909093034154389
93;21;24;-2.6009242882982706
94;24;24;-4.187848784821889
95;25;24;-2.675938278728006
96;28;24;-4.756638674546276
97;29;24;-4.7039388051101705
98;30;24;-3.3020222666371692
99;33;24;-4.964905739054494
100;34;24;-3.3119048650877665
101;38;24;-4.33522598183212
102;39;24;-3.022094091385706
103;42;24;-4.625683387788977
104;43;24;-3.5180690785664646
105;46;24;-5.882233861357366
106;49;24;-3.7647913463472116
107;50;24;-2.5328424757679033
108;53;24;-3.824485146144938
109;54;24;-2.5207046359114997
110;57;24;-4.019928230608609
111;58;24;-3.962861179968438
112;59;24;-2.5020704435041443
113;62;24;-3.9949558649604784
114;63;24;-2.514245214416757
115;66;24;-4.129825256433593
116;67;24;-4.045971643390777
117;68;24;-3.04880042570854
118;71;24;-4.382093818502137
119;72;24;-3.218422539597624
120;76;24;-3.359420652927529
121;77;24;-2.6994963017473492
122;80;24;-3.587987463515706
123;81;24;-2.8794381878368576
124;85;24;-3.229813988843101
125;86;24;-2.4676854951591247
126;89;24;-2.4232549727656383
127;90;24;-2.3972517877051236
128;93;24;-4.5529037084900885
129;95;24;-3.776560672921233
130;96;24;-1.715159730422337
131;99;24;-3.799292929983309
132;100;24;-1.7131069963748118
133;103;24;-5.67225851386347
135;107;24;-5.8043213154834845
136;109;24;-4.8985457826365435
137;111;24;-3.324503696518245
138;112;24;-1.8941515546528134
139;115;24;-3.6270816135054673
140;116;24;-2.2022160097330623
82;1;25;-2.5318566692134814
83;2;25;-2.994197157320872
84;3;25;-2.9177087065810405
148;132;25;-4.051690921444225
85;6;25;-2.9609489587541353
86;7;25;-2.7902176289528406
87;11;25;-2.326085195154912
88;12;25;-2.5843139701668854
152;140;25;-5.332092937636798
153;142;25;-3.9349914964276027
89;15;25;-2.2408407830926844
154;143;25;-2.355851034226692
90;16;25;-2.370718695837581
155;146;25;-3.928501523775893
156;147;25;-2.3438266769345257
91;19;25;-3.4372464828716907
92;20;25;-3.4858070970966653
93;21;25;-2.274338783563395
94;24;25;-3.644339600470312
95;25;25;-2.30819575069335
96;28;25;-4.246081458683129
97;29;25;-3.954297379667568
98;30;25;-2.664660971810467
99;33;25;-3.974979087983365
100;34;25;-2.5933116324169805
101;38;25;-4.035739481700587
102;39;25;-2.5410220900707707
103;42;25;-4.263026527367055
104;43;25;-2.9155654635478125
105;46;25;-5.135260037068973
106;49;25;-3.4799659647102787
107;50;25;-2.2214727332006667
108;53;25;-3.5864823873540153
109;54;25;-2.218472237734262
110;57;25;-3.8231405414172777
111;58;25;-3.783546090783159
112;59;25;-2.2393917207635115
113;62;25;-3.833173997973948
114;63;25;-2.2606066622000376
115;66;25;-3.9861589057714846
116;67;25;-3.9438275323317944
117;68;25;-2.914834177447027
118;71;25;-4.326751253514283
119;72;25;-3.1223317373795694
120;76;25;-2.987169307069488
121;77;25;-2.306603458874946
122;80;25;-2.881389351355955
123;81;25;-2.228245403066854
124;85;25;-3.0651687613688514
125;86;25;-2.1915021108907684
126;89;25;-2.273362413713313
127;90;25;-2.163642372368102
128;93;25;-4.55279234104019
129;95;25;-3.7762396506773372
130;96;25;-1.6664773751300852
131;99;25;-3.7990061979825946
132;100;25;-1.6678452814209082
133;103;25;-5.672250088468795
135;107;25;-5.804313411251985
136;109;25;-4.898502046966968
137;111;25;-3.323316302685555
138;112;25;-1.8622770594907279
139;115;25;-3.6259071541264567
140;116;25;-2.179137467058951
82;1;26;-2.1564208115457673
83;2;26;-2.284009979340793
84;3;26;-2.3359095521423257
148;132;26;-4.065889230085727
85;6;26;-2.391128725277056
86;7;26;-2.3534385517574568
87;11;26;-2.1520617230132326
88;12;26;-2.309484892254533
152;140;26;-5.150497010823393
153;142;26;-3.222423784078846
89;15;26;-2.2455913028697236
154;143;26;-2.3218341125708677
90;16;26;-2.2262488442774306
155;146;26;-3.2107771585425837
91;19;26;-2.894711943267667
156;147;26;-2.3037019451629077
92;20;26;-2.9208849789847395
93;21;26;-2.2697996708880908
94;24;26;-3.0170545607308115
95;25;26;-2.2888509101683385
96;28;26;-3.3018499295218127
97;29;26;-3.447954685597353
98;30;26;-2.790271218644528
99;33;26;-3.8802012533928263
100;34;26;-3.018606544995506
101;38;26;-3.010734140601421
102;39;26;-2.2262224412589497
103;42;26;-3.1306309800181507
104;43;26;-2.4196549655045256
105;46;26;-3.9178088799481157
106;49;26;-2.9290640467613627
107;50;26;-2.207517137184138
108;53;26;-3.000380776847099
109;54;26;-2.2279984424723778
110;57;26;-3.1172599032061283
111;58;26;-3.0220633606303777
112;59;26;-2.2933927422763176
113;62;26;-2.9522048390995335
114;63;26;-2.288724729057841
115;66;26;-2.9005532470337934
116;67;26;-3.1755061797487074
117;68;26;-2.831067516957759
118;71;26;-3.691155459468577
119;72;26;-3.0751075610913836
120;76;26;-1.6424507198188105
121;77;26;-1.7020124866510045
122;80;26;-1.6682694137036647
123;81;26;-1.6786355961640977
124;85;26;-3.2202317101459097
125;86;26;-2.4023348817771493
126;89;26;-2.4623245860989456
127;90;26;-2.1394854780458052
128;93;26;-4.817193341095923
129;95;26;-3.892781092314984
130;96;26;-1.6538953936524765
131;99;26;-3.9088466170814735
132;100;26;-1.6559259475600432
133;103;26;-5.946885746349471
136;109;26;-4.900418707212365
137;111;26;-3.122651371013788
138;112;26;-1.8508434051071438
139;115;26;-3.4239042694356026
140;116;26;-2.169859174200419
82;1;27;-1.8447314855845847
83;2;27;-1.7482564175990136
84;3;27;-1.9338683396542793
85;6;27;-1.8333992373224666
86;7;27;-1.9084693194318845
87;11;27;-1.9678033220653834
88;12;27;-2.34931128176339
89;15;27;-2.220768741247404
154;143;27;-5.619252364571695
90;16;27;-2.4786709615101854
156;147;27;-5.601121236690153
91;19;27;-5.023195969189268
92;20;27;-5.100424645142512
93;21;27;-3.2452688459318555
94;24;27;-5.299386010383825
95;25;27;-3.341739752119821
98;30;27;-3.9821822466598955
